,Salary,Level,Days Into Year,Years at Company,Years of Experience
0,275950.0,2.0,332.0,0.0,4.0
1,560000.0,2.0,332.0,5.0,8.0
2,300000.0,3.0,332.0,4.0,6.0
3,250000.0,1.0,332.0,3.0,3.0
4,316000.0,2.0,331.0,1.0,5.0
5,350000.0,3.0,331.0,4.0,12.0
6,192000.0,1.0,331.0,0.0,0.0
7,125412.0,2.0,330.0,0.0,7.0
8,194150.0,1.0,330.0,0.0,0.0
9,438400.0,4.0,330.0,8.0,10.0
10,267000.0,3.0,330.0,2.0,11.0
11,303484.0,3.0,330.0,15.0,15.0
12,204000.0,1.0,329.0,0.0,0.0
13,192050.0,1.0,329.0,0.0,0.0
14,111250.0,1.0,328.0,0.0,2.0
15,381900.0,3.0,328.0,7.0,13.0
16,291000.0,3.0,328.0,3.0,3.0
18,168550.0,1.0,328.0,0.0,0.0
19,202500.0,1.0,327.0,0.0,0.0
20,206000.0,2.0,327.0,2.0,2.0
21,340000.0,3.0,327.0,1.0,11.0
22,268000.0,3.0,327.0,5.0,5.0
23,261000.0,2.0,327.0,3.0,5.0
24,252000.0,2.0,327.0,2.0,4.0
25,225350.0,1.0,327.0,0.0,2.0
26,222800.0,1.0,327.0,0.0,2.0
27,271000.0,2.0,327.0,4.0,7.0
28,170500.0,1.0,327.0,0.0,0.0
29,400000.0,3.0,327.0,6.0,11.0
30,229700.0,1.0,327.0,0.0,4.0
31,120000.0,1.0,327.0,3.0,4.0
32,350000.0,3.0,326.0,0.0,15.0
33,280000.0,2.0,326.0,5.0,5.0
34,188750.0,2.0,326.0,0.0,4.0
35,345400.0,3.0,326.0,0.0,7.0
36,250000.0,2.0,326.0,1.0,10.0
37,160000.0,1.0,326.0,3.0,6.0
38,264300.0,2.0,326.0,0.0,6.0
39,363925.0,3.0,325.0,6.0,8.0
40,142500.0,1.0,325.0,0.0,2.0
41,238000.0,2.0,325.0,2.0,2.0
42,280000.0,2.0,325.0,4.0,10.0
43,192050.0,1.0,325.0,0.0,0.0
44,170850.0,1.0,325.0,0.0,4.0
45,208000.0,2.0,325.0,2.0,2.0
46,239900.0,2.0,325.0,0.0,2.0
47,195000.0,1.0,324.0,1.0,4.0
48,220000.0,1.0,324.0,3.0,3.0
49,202000.0,1.0,324.0,2.0,4.0
50,350000.0,3.0,324.0,4.0,8.0
